span_id,journal_id,text,span,gold_label,start_char,end_char,span_type,habit_id
gold_0032,journal_32,drafted post at 3am.,drafted post,CREATIVE,0,12,time,write
gold_0353,journal_353,skipped breakfast again,skipped breakfast,NUTRITION,0,17,edge_case,skip_meal
gold_0269,journal_269,Avoided up with sunrise all day.,up with sunrise,SLEEP,8,23,negation,wake_early
gold_0395,journal_395,late night gaming session,gaming,ENTERTAINMENT,11,17,edge_case,gaming
gold_0074,journal_74,binged netflix for about an hour.,binged netflix,ENTERTAINMENT,0,14,neutral,binge_watch
gold_0321,journal_321,Late night did drugs at 2am.,did drugs,SUBSTANCE,11,20,time,drugs
gold_0141,journal_141,Late night news at 2am.,news,INFORMATION,11,15,time,news
gold_0006,journal_6,peer learning and it felt amazing.,peer learning,ACADEMICS,0,13,positive,group_study
gold_0046,journal_46,commuted for 2 hours.,commuted,DAILY_LIVING,0,8,duration,commute
gold_0389,journal_389,did yoga practice,yoga practice,FITNESS,4,17,edge_case,yoga
gold_0247,journal_247,Woke up and took course around 8am.,took course,SELF_IMPROVEMENT,12,23,time,learn_skill
gold_0228,journal_228,an hour of work meeting today.,work meeting,PROFESSIONAL,11,23,duration,meeting
gold_0370,journal_370,worked on side project,side project,PROFESSIONAL,10,22,edge_case,side_project
gold_0177,journal_177,Late night didn't make it at midnight.,didn't make it,MENTAL_STATE,11,25,time,failure
gold_0290,journal_290,Did my regular praying.,praying,SPIRITUAL,15,22,neutral,pray
gold_0004,journal_4,Managed to virtual class even though I was tired.,virtual class,ACADEMICS,11,24,positive,attend_lecture
gold_0019,journal_19,blog post like usual.,blog post,CREATIVE,0,9,neutral,write
gold_0203,journal_203,Managed to productive focus even though I was tired.,productive focus,PRODUCTIVITY,11,27,positive,deep_work
gold_0251,journal_251,No training today. Too exhausted.,training,SELF_IMPROVEMENT,3,11,negation,learn_skill
gold_0275,journal_275,Actually friends hangout like I planned.,friends hangout,SOCIAL,9,24,positive,socialize
gold_0064,journal_64,Spent 3 hours video chat.,video chat,DIGITAL,14,24,duration,video_call
gold_0249,journal_249,skill practice at 11pm.,skill practice,SELF_IMPROVEMENT,0,14,time,learn_skill
gold_0302,journal_302,Late night devotion at 3am.,devotion,SPIRITUAL,11,19,time,pray
gold_0109,journal_109,band practice for about an hour.,band practice,HOBBIES,0,13,neutral,music_practice
gold_0091,journal_91,Did my regular morning walk.,morning walk,FITNESS,15,27,neutral,walk
gold_0234,journal_234,Couldn't bring myself to email work.,email work,PROFESSIONAL,25,35,negation,email_work
gold_0336,journal_336,2 hours of relaxation today.,relaxation,WELLNESS,11,21,duration,self_care
gold_0119,journal_119,gardened for 2 hours.,gardened,HOBBIES,0,8,duration,garden
gold_0221,journal_221,long work day in the morning. Great start.,long work day,PROFESSIONAL,0,13,positive,overtime
gold_0181,journal_181,Did my regular drank espresso.,drank espresso,NUTRITION,15,29,neutral,coffee
gold_0315,journal_315,Another day of cigars. Getting worried.,cigars,SUBSTANCE,15,21,negative,smoking
gold_0374,journal_374,avoided work all day,avoided work,PROFESSIONAL,0,12,edge_case,procrastinate
gold_0381,journal_381,pulled all-nighter,all-nighter,SLEEP,7,18,edge_case,all_nighter
gold_0240,journal_240,online learning today. Felt really good!,online learning,SELF_IMPROVEMENT,0,15,positive,learn_skill
gold_0076,journal_76,Managed to video games even though I was tired.,video games,ENTERTAINMENT,11,22,positive,gaming
gold_0248,journal_248,Late night skill building at midnight.,skill building,SELF_IMPROVEMENT,11,25,time,learn_skill
gold_0111,journal_111,Spent some time drew.,drew,HOBBIES,16,20,neutral,creative_work
gold_0017,journal_17,Skipped collaborative study again.,collaborative study,ACADEMICS,8,27,negation,group_study
gold_0067,journal_67,Late night endless scrolling at midnight.,endless scrolling,DIGITAL,11,28,time,social_media
gold_0154,journal_154,Spent 3 hours music time.,music time,LEISURE,14,24,duration,listen_music
gold_0008,journal_8,Wasted time no sleep studying. So unproductive.,no sleep studying,ACADEMICS,12,29,negative,all_nighter_study
gold_0020,journal_20,drafted post like usual.,drafted post,CREATIVE,0,12,neutral,write
gold_0138,journal_138,Spent 2 hours reading news.,reading news,INFORMATION,14,26,duration,news
gold_0356,journal_356,excessive coffee drinking,coffee,NUTRITION,10,16,edge_case,caffeine
gold_0350,journal_350,worked on side project,side project,PROFESSIONAL,10,22,edge_case,side_project
gold_0132,journal_132,news and it felt amazing.,news,INFORMATION,0,4,positive,news
gold_0388,journal_388,went for morning run,morning run,FITNESS,9,20,edge_case,running
gold_0293,journal_293,Finally went to church after putting it off.,went to church,SPIRITUAL,8,22,positive,church_temple
gold_0387,journal_387,couldn't sleep at all,sleep,SLEEP,9,14,edge_case,insomnia
gold_0298,journal_298,Spent 30 minutes praying.,praying,SPIRITUAL,17,24,duration,pray
gold_0061,journal_61,endless scrolling when I should have been working.,endless scrolling,DIGITAL,0,17,negative,doom_scroll
gold_0080,journal_80,Wasted time attended show. So unproductive.,attended show,ENTERTAINMENT,12,25,negative,concert_event
gold_0286,journal_286,No received call today. Too exhausted.,received call,SOCIAL,3,16,negation,phone_call
gold_0306,journal_306,Avoided spiritual time all day.,spiritual time,SPIRITUAL,8,22,negation,pray
gold_0282,journal_282,Spent 3 hours dispute.,dispute,SOCIAL,14,21,duration,argue
gold_0158,journal_158,exploring at 8am.,exploring,LEISURE,0,9,time,travel
gold_0110,journal_110,yard work today.,yard work,HOBBIES,0,9,neutral,garden
gold_0018,journal_18,No studied with friends today. Too exhausted.,studied with friends,ACADEMICS,3,23,negation,group_study
gold_0348,journal_348,went for morning run,morning run,FITNESS,9,20,edge_case,running
gold_0025,journal_25,drafted post again. Need to stop this.,drafted post,CREATIVE,0,12,negative,write
gold_0176,journal_176,Woke up and panic around 8am.,panic,MENTAL_STATE,12,17,time,anxiety
gold_0352,journal_352,didn't study at all,study,ACADEMICS,7,12,edge_case,study
gold_0333,journal_333,Can't believe I counseling for the third time this week.,counseling,WELLNESS,16,26,negative,therapy
gold_0168,journal_168,revelation and it felt amazing.,revelation,MENTAL_STATE,0,10,positive,breakthrough
gold_0246,journal_246,Spent 3 hours learned.,learned,SELF_IMPROVEMENT,14,21,duration,learn_skill
gold_0312,journal_312,Finally cocktails after putting it off.,cocktails,SUBSTANCE,8,17,positive,alcohol
gold_0146,journal_146,pet time like usual.,pet time,LEISURE,0,8,neutral,pet_time
gold_0259,journal_259,early morning all night. Regret it now.,early morning,SLEEP,0,13,negative,wake_early
gold_0178,journal_178,Failed to can't be satisfied like I planned.,can't be satisfied,MENTAL_STATE,10,28,negation,perfectionism
gold_0120,journal_120,Spent an hour gardening work.,gardening work,HOBBIES,14,28,duration,garden
gold_0195,journal_195,skipped eating at 3am.,skipped eating,NUTRITION,0,14,time,skip_meal
gold_0230,journal_230,Woke up and coding session around midnight.,coding session,PROFESSIONAL,12,26,time,code
gold_0266,journal_266,early riser at 11pm.,early riser,SLEEP,0,11,time,wake_early
gold_0219,journal_219,working like usual.,working,PROFESSIONAL,0,7,neutral,work
gold_0308,journal_308,Did my regular vape.,vape,SUBSTANCE,15,19,neutral,smoking
gold_0037,journal_37,prepared food today.,prepared food,DAILY_LIVING,0,13,neutral,cook
gold_0140,journal_140,Late night current events at 11pm.,current events,INFORMATION,11,25,time,news
gold_0292,journal_292,Managed to religious gathering even though I was tired.,religious gathering,SPIRITUAL,11,30,positive,church_temple
gold_0156,journal_156,reading for an hour.,reading,LEISURE,0,7,duration,read_book
gold_0197,journal_197,Missed my usual stuffed myself.,stuffed myself,NUTRITION,16,30,negation,overeating
gold_0285,journal_285,Woke up and heated argument around midnight.,heated argument,SOCIAL,12,27,time,argue
gold_0060,journal_60,twitter scrolling today. Felt really good!,twitter scrolling,DIGITAL,0,17,positive,social_media
gold_0112,journal_112,made something and it felt amazing.,made something,HOBBIES,0,14,positive,creative_work
gold_0166,journal_166,at peace today. Felt really good!,at peace,MENTAL_STATE,0,8,positive,calm
gold_0364,journal_364,slept through my alarm,slept through,SLEEP,0,13,edge_case,sleep_late
gold_0007,journal_7,Can't believe I study time for the third time this week.,study time,ACADEMICS,16,26,negative,study
gold_0334,journal_334,Spent 45 minutes personal writing.,personal writing,WELLNESS,17,33,duration,write_journal
gold_0276,journal_276,hermit mode in the morning. Great start.,hermit mode,SOCIAL,0,11,positive,isolation
gold_0151,journal_151,Wasted time reading novel. So unproductive.,reading novel,LEISURE,12,25,negative,read_book
gold_0011,journal_11,study session with classmates for 30 minutes.,study session with classmates,ACADEMICS,0,29,duration,group_study
gold_0193,journal_193,healthy lunch at midnight.,healthy lunch,NUTRITION,0,13,time,healthy_eating
gold_0104,journal_104,nature walk at midnight.,nature walk,FITNESS,0,11,time,walk
gold_0082,journal_82,cinema visit for 45 minutes.,cinema visit,ENTERTAINMENT,0,12,duration,movie_theater
gold_0317,journal_317,vodka for 3 hours.,vodka,SUBSTANCE,0,5,duration,alcohol
gold_0399,journal_399,work stuff,work,PROFESSIONAL,0,4,edge_case,work
gold_0376,journal_376,excessive coffee drinking,coffee,NUTRITION,10,16,edge_case,caffeine
gold_0209,journal_209,multiple things at once for 45 minutes.,multiple things at once,PRODUCTIVITY,0,23,duration,multitasking
gold_0287,journal_287,Missed my usual got complimented.,got complimented,SOCIAL,16,32,negation,compliment_receive
gold_0169,journal_169,Can't believe I good mood for the third time this week.,good mood,MENTAL_STATE,16,25,negative,happy
gold_0354,journal_354,avoided work all day,avoided work,PROFESSIONAL,0,12,edge_case,procrastinate
gold_0090,journal_90,Couldn't bring myself to cinema visit.,cinema visit,ENTERTAINMENT,25,37,negation,movie_theater
gold_0378,journal_378,gym time,gym,FITNESS,0,3,edge_case,gym
gold_0164,journal_164,upset like usual.,upset,MENTAL_STATE,0,5,neutral,angry
gold_0148,journal_148,Finally listened to podcast after putting it off.,listened to podcast,LEISURE,8,27,positive,podcast
gold_0229,journal_229,Woke up and extra hours around 11pm.,extra hours,PROFESSIONAL,12,23,time,overtime
gold_0093,journal_93,stretching routine today.,stretching routine,FITNESS,0,18,neutral,stretch
gold_0070,journal_70,Missed my usual staring at screen.,staring at screen,DIGITAL,16,33,negation,screen_time
gold_0124,journal_124,Couldn't bring myself to instrument practice.,instrument practice,HOBBIES,25,44,negation,music_practice
gold_0097,journal_97,asanas again. Need to stop this.,asanas,FITNESS,0,6,negative,yoga
gold_0144,journal_144,Failed to headlines like I planned.,headlines,INFORMATION,10,19,negation,news
gold_0327,journal_327,Spent some time wrote in journal.,wrote in journal,WELLNESS,16,32,neutral,write_journal
gold_0098,journal_98,nature walk when I should have been working.,nature walk,FITNESS,0,11,negative,walk
gold_0239,journal_239,goal setting in the morning. Great start.,goal setting,SELF_IMPROVEMENT,0,12,positive,goal_setting
gold_0069,journal_69,messaging at 3am.,messaging,DIGITAL,0,9,time,text_messaging
gold_0024,journal_24,Actually creative writing like I planned.,creative writing,CREATIVE,9,25,positive,write
gold_0038,journal_38,decluttered like usual.,decluttered,DAILY_LIVING,0,11,neutral,clean
gold_0145,journal_145,Spent some time on vacation.,on vacation,LEISURE,16,27,neutral,travel
gold_0123,journal_123,camera work at 2am.,camera work,HOBBIES,0,11,time,photography
gold_0183,journal_183,fresh food for about an hour.,fresh food,NUTRITION,0,10,neutral,healthy_eating
gold_0068,journal_68,Woke up and scrolled instagram around midnight.,scrolled instagram,DIGITAL,12,30,time,social_media
gold_0199,journal_199,organized tasks for about an hour.,organized tasks,PRODUCTIVITY,0,15,neutral,plan
gold_0325,journal_325,Spent some time me time.,me time,WELLNESS,8,15,neutral,self_care
gold_0220,journal_220,Finally business meeting after putting it off.,business meeting,PROFESSIONAL,8,24,positive,meeting
gold_0318,journal_318,tipsy for an hour.,tipsy,SUBSTANCE,0,5,duration,alcohol
gold_0196,journal_196,Skipped homemade food again.,homemade food,NUTRITION,8,21,negation,healthy_eating
gold_0126,journal_126,No photography time today. Too exhausted.,photography time,HOBBIES,3,19,negation,photography
gold_0147,journal_147,travel time for about an hour.,travel time,LEISURE,0,11,neutral,travel
gold_0372,journal_372,didn't study at all,study,ACADEMICS,7,12,edge_case,study
gold_0087,journal_87,video games at 11pm.,video games,ENTERTAINMENT,0,11,time,gaming
gold_0337,journal_337,Late night lots of water at 2am.,lots of water,WELLNESS,11,24,time,hydrate
gold_0341,journal_341,Failed to lots of water like I planned.,lots of water,WELLNESS,10,23,negation,hydrate
gold_0338,journal_338,Late night lots of water at 11pm.,lots of water,WELLNESS,11,24,time,hydrate
gold_0355,journal_355,late night gaming session,gaming,ENTERTAINMENT,11,17,edge_case,gaming
gold_0335,journal_335,an hour of relaxation today.,relaxation,WELLNESS,11,21,duration,self_care
gold_0303,journal_303,Late night mosque at 11pm.,mosque,SPIRITUAL,11,17,time,church_temple
gold_0184,journal_184,missed lunch and it felt amazing.,missed lunch,NUTRITION,0,12,positive,skip_meal
gold_0204,journal_204,juggling tasks today. Felt really good!,juggling tasks,PRODUCTIVITY,0,14,positive,multitasking
gold_0284,journal_284,Late night no social contact at 2am.,no social contact,SOCIAL,11,28,time,isolation
gold_0212,journal_212,Late night switching between tasks at 3am.,switching between tasks,PRODUCTIVITY,11,34,time,multitasking
gold_0283,journal_283,Woke up and family chat around 8am.,family chat,SOCIAL,12,23,time,call_family
gold_0130,journal_130,Actually reading news like I planned.,reading news,INFORMATION,9,21,positive,news
gold_0039,journal_39,Did my regular made breakfast.,made breakfast,DAILY_LIVING,15,29,neutral,cook
gold_0012,journal_12,Spent 2 hours studied all night.,studied all night,ACADEMICS,14,31,duration,all_nighter_study
gold_0326,journal_326,journal time today.,journal time,WELLNESS,0,12,neutral,write_journal
gold_0186,journal_186,Finally nighttime eating after putting it off.,nighttime eating,NUTRITION,8,24,positive,late_night_snack
gold_0223,journal_223,Can't believe I at work for the third time this week.,at work,PROFESSIONAL,16,23,negative,work
gold_0113,journal_113,Finally instrument practice after putting it off.,instrument practice,HOBBIES,8,27,positive,music_practice
gold_0180,journal_180,Didn't fell short today. Feel bad about it.,fell short,MENTAL_STATE,7,17,negation,failure
gold_0328,journal_328,practiced gratitude today. Felt really good!,practiced gratitude,WELLNESS,0,19,positive,gratitude
gold_0300,journal_300,2 hours of devotion today.,devotion,SPIRITUAL,11,19,duration,pray
gold_0118,journal_118,played instrument for an hour.,played instrument,HOBBIES,0,17,duration,music_practice
gold_0369,journal_369,did yoga practice,yoga practice,FITNESS,4,17,edge_case,yoga
gold_0278,journal_278,requested help all night. Regret it now.,requested help,SOCIAL,0,14,negative,ask_help
gold_0385,journal_385,kept procrastinating on assignment,procrastinating,PRODUCTIVITY,5,20,edge_case,procrastinate
gold_0288,journal_288,Avoided spoke with family all day.,spoke with family,SOCIAL,8,25,negation,call_family
gold_0363,journal_363,feeling really anxious lately,anxious,MENTAL_STATE,15,22,edge_case,anxiety
gold_0165,journal_165,Spent some time don't deserve.,don't deserve,MENTAL_STATE,16,29,neutral,imposter_syndrome
gold_0254,journal_254,awake all night like usual.,awake all night,SLEEP,0,15,neutral,insomnia
gold_0137,journal_137,2 hours of newspaper today.,newspaper,INFORMATION,11,20,duration,news
gold_0155,journal_155,30 minutes of music session today.,music session,LEISURE,14,27,duration,listen_music
gold_0200,journal_200,task switching today.,task switching,PRODUCTIVITY,0,14,neutral,multitasking
gold_0198,journal_198,Couldn't bring myself to night munchies.,night munchies,NUTRITION,25,39,negation,late_night_snack
gold_0393,journal_393,skipped breakfast again,skipped breakfast,NUTRITION,0,17,edge_case,skip_meal
gold_0003,journal_3,lecture hall for about an hour.,lecture hall,ACADEMICS,0,12,neutral,attend_lecture
gold_0205,journal_205,concentrated again. Need to stop this.,concentrated,PRODUCTIVITY,0,12,negative,deep_work
gold_0116,journal_116,piano session when I should have been working.,piano session,HOBBIES,0,13,negative,music_practice
gold_0235,journal_235,Spent some time training.,training,SELF_IMPROVEMENT,16,24,neutral,learn_skill
gold_0238,journal_238,Finally made resolution after putting it off.,made resolution,SELF_IMPROVEMENT,8,23,positive,goal_setting
gold_0027,journal_27,creative writing again. Need to stop this.,creative writing,CREATIVE,0,16,negative,write
gold_0121,journal_121,art time at 8am.,art time,HOBBIES,0,8,time,creative_work
gold_0358,journal_358,gym time,gym,FITNESS,0,3,edge_case,gym
gold_0225,journal_225,own project all night. Regret it now.,own project,PROFESSIONAL,0,11,negative,side_project
gold_0361,journal_361,pulled all-nighter,all-nighter,SLEEP,7,18,edge_case,all_nighter
gold_0379,journal_379,work stuff,work,PROFESSIONAL,0,4,edge_case,work
gold_0351,journal_351,called my parents,called my parents,SOCIAL,0,17,edge_case,family_time
gold_0380,journal_380,sleep schedule,sleep,SLEEP,0,5,edge_case,sleep
gold_0128,journal_128,current events for about an hour.,current events,INFORMATION,0,14,neutral,news
gold_0075,journal_75,Spent some time watched series.,watched series,ENTERTAINMENT,16,30,neutral,binge_watch
gold_0323,journal_323,Missed my usual smoke break.,smoke break,SUBSTANCE,16,27,negation,smoking
gold_0030,journal_30,creative writing for an hour.,creative writing,CREATIVE,0,16,duration,write
gold_0084,journal_84,an hour of live event today.,live event,ENTERTAINMENT,11,21,duration,concert_event
gold_0390,journal_390,worked on side project,side project,PROFESSIONAL,10,22,edge_case,side_project
gold_0108,journal_108,Avoided swim session all day.,swim session,FITNESS,8,20,negation,swim
gold_0250,journal_250,Failed to made resolution like I planned.,made resolution,SELF_IMPROVEMENT,10,25,negation,goal_setting
gold_0297,journal_297,religious practice when I should have been working.,religious practice,SPIRITUAL,0,18,negative,pray
gold_0134,journal_134,read news all night. Regret it now.,read news,INFORMATION,0,9,negative,news
gold_0245,journal_245,Spent 2 hours targets.,targets,SELF_IMPROVEMENT,14,21,duration,goal_setting
gold_0185,journal_185,ate too much today. Felt really good!,ate too much,NUTRITION,0,12,positive,overeating
gold_0291,journal_291,Spent some time went to church.,went to church,SPIRITUAL,16,30,neutral,church_temple
gold_0045,journal_45,meal prep when I should have been working.,meal prep,DAILY_LIVING,0,9,negative,cook
gold_0368,journal_368,went for morning run,morning run,FITNESS,9,20,edge_case,running
gold_0066,journal_66,Spent 3 hours chat.,chat,DIGITAL,14,18,duration,text_messaging
gold_0086,journal_86,show binge at midnight.,show binge,ENTERTAINMENT,0,10,time,binge_watch
gold_0243,journal_243,Wasted time online course. So unproductive.,online course,SELF_IMPROVEMENT,12,25,negative,learn_skill
gold_0187,journal_187,third cup again. Need to stop this.,third cup,NUTRITION,0,9,negative,coffee
gold_0160,journal_160,Couldn't bring myself to road trip.,road trip,LEISURE,25,34,negation,travel
gold_0013,journal_13,Late night took exam at 8am.,took exam,ACADEMICS,11,20,time,exam
gold_0036,journal_36,Avoided content writing all day.,content writing,CREATIVE,8,23,negation,write
gold_0029,journal_29,Spent 3 hours blog post.,blog post,CREATIVE,14,23,duration,write
gold_0171,journal_171,Can't believe I low energy for the third time this week.,low energy,MENTAL_STATE,16,26,negative,tired
gold_0143,journal_143,Missed my usual reading news.,reading news,INFORMATION,16,28,negation,news
gold_0319,journal_319,smoke break at 2am.,smoke break,SUBSTANCE,0,11,time,smoking
gold_0273,journal_273,Did my regular someone praised me.,someone praised me,SOCIAL,15,33,neutral,compliment_receive
gold_0222,journal_222,long work day and it felt amazing.,long work day,PROFESSIONAL,0,13,positive,overtime
gold_0096,journal_96,took a walk in the morning. Great start.,took a walk,FITNESS,0,11,positive,walk
gold_0052,journal_52,No shopping spree today. Too exhausted.,shopping spree,DAILY_LIVING,3,17,negation,shopping
gold_0241,journal_241,online learning again. Need to stop this.,online learning,SELF_IMPROVEMENT,0,15,negative,learn_skill
gold_0299,journal_299,Spent 30 minutes prayer time.,prayer time,SPIRITUAL,17,28,duration,pray
gold_0305,journal_305,Avoided church service all day.,church service,SPIRITUAL,8,22,negation,church_temple
gold_0179,journal_179,Avoided envious all day.,envious,MENTAL_STATE,8,15,negation,comparison
gold_0042,journal_42,prepared food in the morning. Great start.,prepared food,DAILY_LIVING,0,13,positive,cook
gold_0311,journal_311,Actually smoking break like I planned.,smoking break,SUBSTANCE,9,22,positive,smoking
gold_0207,journal_207,focused work all night. Regret it now.,focused work,PRODUCTIVITY,0,12,negative,deep_work
gold_0255,journal_255,staring at ceiling today.,staring at ceiling,SLEEP,0,18,neutral,insomnia
gold_0332,journal_332,Another day of timeout. Getting worried.,timeout,WELLNESS,15,22,negative,break
gold_0005,journal_5,studied today. Felt really good!,studied,ACADEMICS,0,7,positive,study
gold_0257,journal_257,poor sleep in the morning. Great start.,poor sleep,SLEEP,0,10,positive,sleep_quality_poor
gold_0359,journal_359,work stuff,work,PROFESSIONAL,0,4,edge_case,work
gold_0101,journal_101,bike ride for 2 hours.,bike ride,FITNESS,0,9,duration,cycling
gold_0227,journal_227,worked on project for 2 hours.,worked on project,PROFESSIONAL,0,17,duration,side_project
gold_0342,journal_342,Skipped break time again.,break time,WELLNESS,8,18,negation,break
gold_0214,journal_214,Missed my usual multiple things at once.,multiple things at once,PRODUCTIVITY,16,39,negation,multitasking
gold_0172,journal_172,Spent 2 hours happy.,happy,MENTAL_STATE,14,19,duration,happy
gold_0099,journal_99,yoga routine all night. Regret it now.,yoga routine,FITNESS,0,12,negative,yoga
gold_0216,journal_216,Skipped sorted things again.,sorted things,PRODUCTIVITY,8,21,negation,organize
gold_0062,journal_62,video chat all night. Regret it now.,video chat,DIGITAL,0,10,negative,video_call
gold_0048,journal_48,3 hours of made dinner today.,made dinner,DAILY_LIVING,11,22,duration,cook
gold_0033,journal_33,writing session at 2am.,writing session,CREATIVE,0,15,time,write
