span_id,journal_id,span,start_idx,end_idx,method,confidence,context
s_000039,j_002207,overwhelmed,242,253,spacy_phrase_match,0.95,r stopped and engaged in a heated discussion with my mother and aunt leaving me overwhelmed with a sense of remorse
s_000040,j_006613,journey,253,260,spacy_phrase_match,0.95,rove my capabilities without relying on any preparatory courses i embarked on a journey to excel independently defying the odds
s_000041,j_088044,alone,260,265,spacy_phrase_match,0.95,them as much as i do and not have to worry that i am failing simply in that act alone
s_000042,j_035851,alcohol,265,272,spacy_phrase_match,0.95,a few minutes they ultimately arrived three hours later clearly having consumed alcohol
s_000043,j_046768,down,272,276,spacy_phrase_match,0.95,onometry another tutor and tutee were working on at the library calmed me right down
s_000044,j_077432,show,276,280,spacy_phrase_match,0.95,made me trust cause ive never felt like this before im naked around you does it show
s_000045,j_043154,show,280,284,spacy_phrase_match,0.95,made me trust cause ive never felt like this before im naked around you does it show
s_000046,j_017944,party,284,289,spacy_phrase_match,0.95,rudolph valentino performing unspeakable acts back and forth and it felt like a party
s_000047,j_122160,alone,289,294,spacy_phrase_match,0.95,"r meals, just snacks. Argued with roommate about cleaning. Feeling stressed and alone. Tried to study at night but gave up after 10 minutes."
s_000048,j_092377,thought about,294,307,regex_seed_alias,0.95,e is all about this was one of few question which crept up vividly every time i thought about what had happened
s_000049,j_122168,development,307,318,spacy_phrase_match,0.95,hing for others. Came back and researched new online courses. Want to learn web development. Practiced piano for 45 minutes. Musical skills improving slowly.
s_000050,j_082746,down,319,323,spacy_phrase_match,0.95,before we could react it vanished leaving an eerie impression that sent shivers down our spines
s_000051,j_052886,calm,323,327,spacy_phrase_match,0.95,felt guilty too as i had been bad to my grandmother of late i had not remained calm when she no longer understood everything so well
s_000052,j_010782,got drunk,327,336,regex_seed_alias,0.95,t not guilt repression etc i mixed drinking with smoking which i rarely did and got drunk and had to leave the table to get sick in the loo and later went home and was s
s_000053,j_122161,evening walk,338,350,regex_seed_alias,0.95,acticed gratitude journaling. Listed three things I'm thankful for. Went for an evening walk. Early to bed at 9:30pm.
s_000054,j_151593,walk,350,354,spacy_phrase_match,0.95,"ve the skills and understanding to tackle any challenge that comes my way. I'll walk into the exam room with confidence, ready to showcase my abilities."
s_000055,j_112627,work,354,358,spacy_phrase_match,0.95,ntil am however i had to depart at that hour as my parents required the car for work in the morning it is worth mentioning that my parents harbor a strong dislike t
s_000056,j_151612,down,358,362,spacy_phrase_match,0.95,"ere doesn't seem to be a specific event causing it, but I've been feeling quite down."
s_000057,j_023384,overwhelmed,364,375,spacy_phrase_match,0.95,eventually my mother inadvertently exposed the truth in his presence leaving me overwhelmed with a profound sense of remorse
s_000058,j_122164,content,377,384,spacy_phrase_match,0.95,"ook photos at sunset, photography session. Peaceful and productive day. Feeling content and grateful."
s_000059,j_018671,worried,390,397,spacy_phrase_match,0.95,een searching for me desperatly she did not scold me but i saw how much she had worried herself
s_000060,j_151597,journey,397,404,spacy_phrase_match,0.95,n my goals and reminding myself of the rewards that await me at the end of this journey.
s_000061,j_035781,disappointed,406,418,spacy_phrase_match,0.95,ge was neatly packed and not obstructing their way the incident left me utterly disappointed and disenchanted
s_000062,j_024335,not say,422,429,spacy_neg_verb,0.8,e key it broke we had no second key my mother was blamed for all that and i did not say a word
s_000063,j_005455,reached out,430,441,regex_seed_alias,0.95,ey neither arrived nor communicated their absence and to this day they have not reached out leaving me with a lingering sense of frustration
s_000064,j_151613,Work,444,448,spacy_phrase_match,0.95,"relaxation time. Overall, my mood has been balanced, with normal ups and downs. Work stress and family time both have significant impacts."
s_000065,j_151613,stress,449,455,spacy_phrase_match,0.95,"ation time. Overall, my mood has been balanced, with normal ups and downs. Work stress and family time both have significant impacts."
s_000066,j_005455,lingering sense,460,475,spacy_verb_noun,0.75,cated their absence and to this day they have not reached out leaving me with a lingering sense of frustration
s_000067,j_151613,significant impacts,482,501,spacy_adj_noun,0.65,"been balanced, with normal ups and downs. Work stress and family time both have significant impacts."
s_000068,j_039500,blue,519,523,spacy_phrase_match,0.95,have an island paradise-themed wedding and our theme color would be a soothing blue like Aquamarine . And there will be a huge seashell on the wall behind the podi
s_000069,j_151590,quiet place,549,560,spacy_adj_noun,0.65,"ronment, free from distractions. Perhaps it's time to turn off my phone, find a quiet place, and implement some effective concentration techniques. It's crucial to regain"
s_000070,j_039500,huge seashell,562,575,spacy_adj_noun,0.65,our theme color would be a soothing blue like Aquamarine . And there will be a huge seashell on the wall behind the podium where we ll make our toasts ! What do you think o
s_000071,j_151590,effective concentration,581,604,spacy_adj_noun,0.65,"Perhaps it's time to turn off my phone, find a quiet place, and implement some effective concentration techniques. It's crucial to regain control over my attention and prioritize my"
s_000072,j_151590,'s crucial,619,629,spacy_feel_state,0.9,"e, find a quiet place, and implement some effective concentration techniques. It's crucial to regain control over my attention and prioritize my exam preparation."
s_000073,j_151590,regain control,633,647,spacy_verb_noun,0.75,"t place, and implement some effective concentration techniques. It's crucial to regain control over my attention and prioritize my exam preparation."
s_000074,j_039500,small packages,657,671,spacy_adj_noun,0.65,"n the wall behind the podium where we ll make our toasts ! What do you think of small packages of drink mixes for our wedding favors ? Who else am I missing ? Oh , your uncle"
